,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
108,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 184 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1529000,4,184,1,
109,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 184 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1544000,4,184,1,
110,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 227 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1679000,4,227,1,
111,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 227 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1679000,4,227,1,
112,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 227 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1679000,4,227,1,
113,Maisons individuelles dans programme neuf à Erpeldange-sur-Sûre,"€ 1,489,000 - € 1,679,000",Erpeldange-sur-Sûre,LA immo Sàrl,"Maison individuelle 227 m², neuve, Ingeldorf, Erpeldange-sur-Sûre",1679000,4,227,1,
114,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 145 m², neuve, Moesdorf, Mersch",1392000,4,145,2,
115,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 145 m², neuve, Moesdorf, Mersch",1399000,4,145,2,
116,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 134 m², neuve, Moesdorf, Mersch",1487000,4,134,2,
117,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 234 m², neuve, Moesdorf, Mersch",1555000,4,234,,
118,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 173 m², neuve, Moesdorf, Mersch",1595000,4,173,2,
119,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 173 m², neuve, Moesdorf, Mersch",1599000,4,173,2,
120,Maisons individuelles dans programme neuf à Mersch,"€ 1,392,000 - € 1,674,000",Mersch,LA immo Sàrl,"Maison individuelle 235 m², neuve, Moesdorf, Mersch",1674000,4,235,,
121,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",516329,,37,,
122,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",523759,,34,,
123,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",534548,,34,,
124,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",535871,,37,,
125,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",538009,,39,,
126,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",539942,,34,,
127,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",545235,,37,,
128,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",550324,,39,,
129,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",562639,,39,,
130,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",563352,,40,,
131,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",564879,,41,,
132,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 516,329 - € 1,550,809",Luxembourg,BRICKS Solutions Immobilières,"Studio à vendre, Bonnevoie-Verlorenkost, Luxembourg",568543,,39,,
