,property,price_range,location,property_link,agency,unit,unit_price,unit_info
65,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132037/,Venice Consulting SA,"Penthouse neuf, 209 m², Bertrange, Bertrange","€ 3,112,007","{'chambres/pièces': '4', 'superficie': '209\n m²', 'salles de bain': '2', 'étage': '2'}"
66,Maisons plurifamiliales et Villas dans programme neuf à Mamer,"€ 1,920,760 - € 2,617,400",Mamer,https://www.immotop.lu/annonces/149707/59707/,Venice Consulting SA,"Maison jumelée / mitoyenne 234 m², neuve, Mamer, Mamer","€ 1,920,760","{'chambres/pièces': '5', 'superficie': '234\n m²', 'salles de bain': '2'}"
67,Maisons plurifamiliales et Villas dans programme neuf à Mamer,"€ 1,920,760 - € 2,617,400",Mamer,https://www.immotop.lu/annonces/149707/59729/,Venice Consulting SA,"Villa indépendante, neuve, 194 m², Mamer, Mamer","€ 2,617,400","{'chambres/pièces': '4', 'superficie': '194\n m²', 'salles de bain': '3'}"
68,Appartements dans programme neuf à Mamer,"€ 595,114 - € 1,190,833",Mamer,https://www.immotop.lu/annonces/162067/65871/,Akkurat Immo,"Appartement neuf, rez-de-chaussée, Mamer, Mamer","€ 595,114",{'étage': 'T'}
69,Appartements dans programme neuf à Mamer,"€ 595,114 - € 1,190,833",Mamer,https://www.immotop.lu/annonces/162067/65839/,Akkurat Immo,"Appartement neuf, rez-de-chaussée, Mamer, Mamer","€ 838,136","{'superficie': '57\n m²', 'étage': '1'}"
70,Appartements dans programme neuf à Mamer,"€ 595,114 - € 1,190,833",Mamer,https://www.immotop.lu/annonces/162067/65859/,Akkurat Immo,"Appartement neuf, rez-de-chaussée, Mamer, Mamer","€ 1,190,833","{'superficie': '116\n m²', 'étage': '1'}"
71,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63253/,LA immo Sàrl,"Studio à vendre, Belair, Luxembourg","€ 612,830",{'superficie': '35\n m²'}
72,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63153/,LA immo Sàrl,"Studio à vendre, Belair, Luxembourg","€ 635,726",{'superficie': '38\n m²'}
73,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63409/,LA immo Sàrl,Bureau - Cabinet en Vente,"€ 663,459","{'superficie': '46\n m²', 'étage': 'T'}"
74,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63113/,LA immo Sàrl,"Studio à vendre, Belair, Luxembourg","€ 664,962",{'superficie': '40\n m²'}
75,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63167/,LA immo Sàrl,"Studio à vendre, Belair, Luxembourg","€ 667,281",{'superficie': '40\n m²'}
76,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63289/,LA immo Sàrl,Bureau - Cabinet en Vente,"€ 721,910","{'superficie': '61\n m²', 'étage': 'T'}"
77,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63353/,LA immo Sàrl,Bureau - Cabinet en Vente,"€ 728,614","{'superficie': '60\n m²', 'étage': 'T'}"
78,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63141/,LA immo Sàrl,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 813,650","{'chambre/pièce': '1', 'superficie': '53\n m²', 'étage': '1'}"
79,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63147/,LA immo Sàrl,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 822,934","{'chambre/pièce': '1', 'superficie': '53\n m²', 'étage': '1'}"
80,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63171/,LA immo Sàrl,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 844,288","{'chambre/pièce': '1', 'superficie': '55\n m²', 'étage': '2'}"
81,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63123/,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 920,639","{'chambres/pièces': '2', 'superficie': '66\n m²', 'étage': 'T'}"
82,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63203/,LA immo Sàrl,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg","€ 928,922","{'chambre/pièce': '1', 'superficie': '52\n m²', 'étage': '3'}"
83,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63131/,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 967,927","{'chambres/pièces': '2', 'superficie': '68\n m²', 'étage': '1'}"
84,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/86713/,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 1,425,788","{'chambres/pièces': '2', 'superficie': '96\n m²', 'étage': '4'}"
85,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,https://www.immotop.lu/annonces/156937/63303/,LA immo Sàrl,"Appartement 3 chambres neuf, rez-de-chaussée, Belair, Luxembourg","€ 2,269,816","{'chambres/pièces': '3', 'superficie': '131\n m²', 'étage': '5'}"
