,property,price_range,location,property_link,agency,unit,unit_price,unit_info
78,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62699/,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","€ 668,560","{'chambre/pièce': '1', 'superficie': '49\n m²'}"
79,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62927/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 680,708","{'chambre/pièce': '1', 'superficie': '58\n m²', 'salle de bain': '1', 'étage': '1'}"
80,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63023/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,314","{'chambre/pièce': '1', 'superficie': '57\n m²', 'salle de bain': '1', 'étage': '2'}"
81,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62881/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,472","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '1'}"
82,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62903/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 681,472","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '1'}"
83,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63045/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
84,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63067/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 688,759","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '2'}"
85,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63139/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 692,732","{'chambre/pièce': '1', 'superficie': '57\n m²', 'salle de bain': '1', 'étage': '3'}"
86,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63161/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
87,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63179/,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","€ 697,622","{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '3'}"
