,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
71,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161945/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1224416.0,Appartement,2.0,77.0,,1
72,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161951/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1245133.0,Appartement,2.0,79.0,,3
73,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161957/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1247453.0,Appartement,2.0,79.0,,2
74,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161963/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1277137.0,Appartement,2.0,85.0,,1
75,Appartements dans programme neuf à Luxembourg,"€ 786,093 - € 1,278,306",Luxembourg,https://www.immotop.lu/annonces/509615/161969/,New Immo,"Appartement 2 chambres avenue du X Septembre, Belair, Luxembourg",1278306.0,Appartement,2.0,85.0,,T
76,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161877/,New Immo,"Studio à vendre, Hollerich, Luxembourg",495720.0,Studio,,36.0,,
77,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161883/,New Immo,"Studio à vendre, Hollerich, Luxembourg",497024.0,Studio,,34.0,,
78,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161887/,New Immo,"Studio à vendre, Hollerich, Luxembourg",527517.0,Studio,,34.0,,
79,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161889/,New Immo,"Studio à vendre, Hollerich, Luxembourg",598537.0,Studio,1.0,45.0,,
80,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161891/,New Immo,"Studio à vendre, Hollerich, Luxembourg",598607.0,Studio,1.0,45.0,,
81,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161893/,New Immo,"Studio à vendre, Hollerich, Luxembourg",599036.0,Studio,1.0,45.0,,
82,Appartements-studio et Appartements dans programme neuf à Luxembourg,"€ 495,720 - € 1,687,207",Luxembourg,https://www.immotop.lu/annonces/509613/161895/,New Immo,"Studio à vendre, Hollerich, Luxembourg",608966.0,Studio,1.0,45.0,,
