,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
2154,"Appartement 1 chambre neuf, premier étage, Steinsel, Steinsel","€ 548,122",Steinsel,https://www.immotop.lu/annonces/443105/,Wiesen-Piront Construction S.A.,"Appartement 1 chambre neuf, premier étage, Steinsel, Steinsel","€ 548,122",Appartement,"{'chambre/pièce': '1', 'superficie': '59\n m²', 'salle de bain': '1', 'étage': '1'}"
2155,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,841,707",Kehlen,https://www.immotop.lu/annonces/193035/,Wiesen-Piront Construction S.A.,"Maison individuelle 300 m², neuve, Olm, Kehlen","€ 1,841,707",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '300\n m²', 'salles de bain': '3'}"
2156,"Appartement rez-de-chaussée, Belair, Luxembourg","€ 713,527",Luxembourg,https://www.immotop.lu/annonces/55629/,Von Poll Real Estate,"Appartement rez-de-chaussée, Belair, Luxembourg","€ 713,527",Appartement,{'étage': 'T'}
2157,"Appartement 2 chambres rez-de-chaussée, Steinsel, Steinsel","€ 1,148,625",Steinsel,https://www.immotop.lu/annonces/153531/,Wiesen-Piront Construction S.A.,"Appartement 2 chambres rez-de-chaussée, Steinsel, Steinsel","€ 1,148,625",Appartement,"{'chambres/pièces': '2', 'superficie': '85\n m²', 'salle de bain': '1', 'étage': 'T'}"
2158,"Maison individuelle 215 m², Marnach, Clervaux","€ 978,677",Clervaux,https://www.immotop.lu/annonces/146513/,Wiesen-Piront Construction S.A.,"Maison individuelle 215 m², Marnach, Clervaux","€ 978,677",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '215\n m²', 'salles de bain': '2'}"
2159,"Maison individuelle 176 m², Olm, Kehlen","€ 1,406,646",Kehlen,https://www.immotop.lu/annonces/158177/,Wiesen-Piront Construction S.A.,"Maison individuelle 176 m², Olm, Kehlen","€ 1,406,646",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '176\n m²', 'salles de bain': '2'}"
2160,"Maison individuelle 202 m², Clemency, Käerjeng","€ 1,207,458",Käerjeng,https://www.immotop.lu/annonces/146557/,Wiesen-Piront Construction S.A.,"Maison individuelle 202 m², Clemency, Käerjeng","€ 1,207,458",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '202\n m²', 'salle de bain': '1'}"
2161,"Maison individuelle 228 m², Munshausen, Clervaux","€ 1,107,778",Clervaux,https://www.immotop.lu/annonces/212049/,Wiesen-Piront Construction S.A.,"Maison individuelle 228 m², Munshausen, Clervaux","€ 1,107,778",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '228\n m²', 'salles de bain': '2'}"
2162,"Maison individuelle 260 m², Bridel, Kopstal","€ 2,045,007",Kopstal,https://www.immotop.lu/annonces/158195/,Wiesen-Piront Construction S.A.,"Maison individuelle 260 m², Bridel, Kopstal","€ 2,045,007",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '260\n m²', 'salles de bain': '3'}"
2163,"Maison individuelle 348 m², neuve, Steinsel, Steinsel","€ 1,859,263",Steinsel,https://www.immotop.lu/annonces/193043/,Wiesen-Piront Construction S.A.,"Maison individuelle 348 m², neuve, Steinsel, Steinsel","€ 1,859,263",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '348\n m²', 'salles de bain': '2'}"
2164,"Maison individuelle 182 m², Ville Haute, Luxembourg","€ 3,550,000",Luxembourg,https://www.immotop.lu/annonces/30321/,Von Poll Real Estate,"Maison individuelle 182 m², Ville Haute, Luxembourg","€ 3,550,000",Maison individuelle,{'superficie': '182\n m²'}
2165,"Maison individuelle 212 m², Grindhausen, Clervaux","€ 855,772",Clervaux,https://www.immotop.lu/annonces/146511/,Wiesen-Piront Construction S.A.,"Maison individuelle 212 m², Grindhausen, Clervaux","€ 855,772",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '212\n m²', 'salles de bain': '2'}"
2166,"Maison individuelle 221 m², Wilwerdange, Troisvierges","€ 1,074,608",Troisvierges,https://www.immotop.lu/annonces/163343/,Wiesen-Piront Construction S.A.,"Maison individuelle 221 m², Wilwerdange, Troisvierges","€ 1,074,608",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '221\n m²', 'salles de bain': '2'}"
2167,"Maison individuelle 10 rue ignace semmelweis, Strassen, Strassen","€ 1,549,000",Strassen,https://www.immotop.lu/annonces/440391/,Home Harmony,"Maison individuelle 10 rue ignace semmelweis, Strassen, Strassen","€ 1,549,000",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '120\n m²', 'salle de bain': '1'}"
2168,"Appartement 2 chambres excellent état, premier étage, Differdange, Lasauvage, Differdange","€ 780,000",Differdange,https://www.immotop.lu/annonces/339215/,Amrimmo,"Appartement 2 chambres excellent état, premier étage, Differdange, Lasauvage, Differdange","€ 780,000",Appartement,"{'chambres/pièces': '2', 'superficie': '89\n m²', 'salle de bain': '1', 'étage': '1'}"
2169,"Appartement 3 chambres excellent état, deuxième étage, Dudelange, Dudelange","€ 798,000",Dudelange,https://www.immotop.lu/annonces/25831/,RE/MAX Partners,"Appartement 3 chambres excellent état, deuxième étage, Dudelange, Dudelange","€ 798,000",Appartement,"{'chambres/pièces': '3', 'superficie': '125\n m²', 'salle de bain': '1', 'étage': '2'}"
2170,"Maison individuelle 170 m², Bascharage, Käerjeng","€ 1,290,000",Käerjeng,https://www.immotop.lu/annonces/278537/,RE/MAX Partners,"Maison individuelle 170 m², Bascharage, Käerjeng","€ 1,290,000",Maison individuelle,"{'chambres/pièces': '4', 'superficie': '170\n m²', 'salle de bain': '1'}"
2171,"Appartement 2 chambres 68 rue Lentz, Dudelange, Dudelange","€ 898,000",Dudelange,https://www.immotop.lu/annonces/27725/,Bavi Concept SA,"Appartement 2 chambres 68 rue Lentz, Dudelange, Dudelange","€ 898,000",Appartement,"{'chambres/pièces': '2', 'superficie': '127\n m²', 'étage': 'T'}"
